table,column,type,required,description
niches,niche_id,text,yes,niches.niche_id for the local Merch automation factory
niches,niche_name,text,yes,niches.niche_name for the local Merch automation factory
niches,audience,text,recommended,niches.audience for the local Merch automation factory
niches,buyer_intent,text,recommended,niches.buyer_intent for the local Merch automation factory
niches,gift_occasion,text,recommended,niches.gift_occasion for the local Merch automation factory
niches,seasonality,text,recommended,niches.seasonality for the local Merch automation factory
niches,demand_score,number,recommended,niches.demand_score for the local Merch automation factory
niches,competition_gap_score,number,recommended,niches.competition_gap_score for the local Merch automation factory
niches,ip_safety_score,number,recommended,niches.ip_safety_score for the local Merch automation factory
niches,reusable_asset_score,number,recommended,niches.reusable_asset_score for the local Merch automation factory
niches,total_score,number,recommended,niches.total_score for the local Merch automation factory
niches,status,text,recommended,niches.status for the local Merch automation factory
niches,notes,text,recommended,niches.notes for the local Merch automation factory
design_pipeline,design_id,text,yes,design_pipeline.design_id for the local Merch automation factory
design_pipeline,niche_id,text,yes,design_pipeline.niche_id for the local Merch automation factory
design_pipeline,design_family,text,recommended,design_pipeline.design_family for the local Merch automation factory
design_pipeline,design_phrase,text,recommended,design_pipeline.design_phrase for the local Merch automation factory
design_pipeline,visual_style,text,recommended,design_pipeline.visual_style for the local Merch automation factory
design_pipeline,product_fit,text,recommended,design_pipeline.product_fit for the local Merch automation factory
design_pipeline,color_strategy,text,recommended,design_pipeline.color_strategy for the local Merch automation factory
design_pipeline,prompt_version,text,recommended,design_pipeline.prompt_version for the local Merch automation factory
design_pipeline,asset_path,text,recommended,design_pipeline.asset_path for the local Merch automation factory
design_pipeline,status,text,recommended,design_pipeline.status for the local Merch automation factory
design_pipeline,created_at,text,recommended,design_pipeline.created_at for the local Merch automation factory
design_pipeline,updated_at,text,recommended,design_pipeline.updated_at for the local Merch automation factory
ip_policy_checks,check_id,text,yes,ip_policy_checks.check_id for the local Merch automation factory
ip_policy_checks,design_id,text,yes,ip_policy_checks.design_id for the local Merch automation factory
ip_policy_checks,phrase_checked,text,recommended,ip_policy_checks.phrase_checked for the local Merch automation factory
ip_policy_checks,trademark_risk,text,recommended,ip_policy_checks.trademark_risk for the local Merch automation factory
ip_policy_checks,copyright_risk,text,recommended,ip_policy_checks.copyright_risk for the local Merch automation factory
ip_policy_checks,celebrity_likeness_risk,text,recommended,ip_policy_checks.celebrity_likeness_risk for the local Merch automation factory
ip_policy_checks,brand_confusion_risk,text,recommended,ip_policy_checks.brand_confusion_risk for the local Merch automation factory
ip_policy_checks,sports_team_risk,text,recommended,ip_policy_checks.sports_team_risk for the local Merch automation factory
ip_policy_checks,sensitive_content_risk,text,recommended,ip_policy_checks.sensitive_content_risk for the local Merch automation factory
ip_policy_checks,keyword_spam_risk,text,recommended,ip_policy_checks.keyword_spam_risk for the local Merch automation factory
ip_policy_checks,risk_level,text,recommended,ip_policy_checks.risk_level for the local Merch automation factory
ip_policy_checks,required_edits,text,recommended,ip_policy_checks.required_edits for the local Merch automation factory
ip_policy_checks,final_decision,text,recommended,ip_policy_checks.final_decision for the local Merch automation factory
ip_policy_checks,reviewer_notes,text,recommended,ip_policy_checks.reviewer_notes for the local Merch automation factory
listing_drafts,listing_id,text,yes,listing_drafts.listing_id for the local Merch automation factory
listing_drafts,design_id,text,yes,listing_drafts.design_id for the local Merch automation factory
listing_drafts,product_type,text,recommended,listing_drafts.product_type for the local Merch automation factory
listing_drafts,title,text,recommended,listing_drafts.title for the local Merch automation factory
listing_drafts,brand,text,recommended,listing_drafts.brand for the local Merch automation factory
listing_drafts,bullet_1,text,recommended,listing_drafts.bullet_1 for the local Merch automation factory
listing_drafts,bullet_2,text,recommended,listing_drafts.bullet_2 for the local Merch automation factory
listing_drafts,description,text,recommended,listing_drafts.description for the local Merch automation factory
listing_drafts,keyword_cluster,text,recommended,listing_drafts.keyword_cluster for the local Merch automation factory
listing_drafts,seo_score,number,recommended,listing_drafts.seo_score for the local Merch automation factory
listing_drafts,policy_score,number,recommended,listing_drafts.policy_score for the local Merch automation factory
listing_drafts,status,text,recommended,listing_drafts.status for the local Merch automation factory
